text,sentiment,confidence,timestamp
"Makanannya enak, tapi harganya mahal.",NEGATIVE,0.960549533367157,1780658934.053268
"Pantai Kuta sangat indah, ombaknya bagus untuk berselancar!",NEGATIVE,0.9785019159317017,1780658938.0794413
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780658940.0804777
"Sayang, banyak pedagang yang mengganggu.",NEGATIVE,0.9881429076194763,1780658942.0814302
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780658944.0822947
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780658946.0833693
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780658948.0842142
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780658950.0856278
"Makanannya enak, tapi harganya mahal.",NEGATIVE,0.960549533367157,1780658952.086736
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780658954.087733
"Tidak sesuai ekspektasi, kecewa.",NEGATIVE,0.9439536333084106,1780658956.0886233
"Tidak sesuai ekspektasi, kecewa.",NEGATIVE,0.9439536333084106,1780658958.0898268
"Penginapan nyaman, tapi AC tidak dingin.",NEGATIVE,0.8871444463729858,1780658960.09062
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780658962.0916696
Akses jalan macet parah.,NEGATIVE,0.5252944231033325,1780658964.0929916
Harga tiket terlalu mahal untuk fasilitas yang ada.,NEGATIVE,0.9809442162513733,1780658966.0940123
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780658968.095038
Harga tiket terlalu mahal untuk fasilitas yang ada.,NEGATIVE,0.9809442162513733,1780658970.0958092
Akses jalan macet parah.,NEGATIVE,0.5252944231033325,1780658972.0969722
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780658974.0980136
"Makanannya enak, tapi harganya mahal.",NEGATIVE,0.960549533367157,1780658976.099015
"Pantai Kuta sangat indah, ombaknya bagus untuk berselancar!",NEGATIVE,0.9785019159317017,1780658978.1000826
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780658980.1012237
Kebersihan toilet perlu ditingkatkan.,NEGATIVE,0.9969180822372437,1780658982.1023278
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780658984.1030948
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780658986.1043153
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780658988.105074
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780658990.1066992
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780658992.1076384
Staff sangat helpful dan ramah.,NEGATIVE,0.7998071908950806,1780658994.108497
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780658996.1092982
Saya akan kembali lagi tahun depan.,NEGATIVE,0.951592206954956,1780658998.110305
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780659000.111527
Harga tiket terlalu mahal untuk fasilitas yang ada.,NEGATIVE,0.9809442162513733,1780659002.112617
Staff sangat helpful dan ramah.,NEGATIVE,0.7998071908950806,1780659004.1135175
Staff sangat helpful dan ramah.,NEGATIVE,0.7998071908950806,1780659006.1149764
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780659008.1158235
Saya akan kembali lagi tahun depan.,NEGATIVE,0.951592206954956,1780659010.1163964
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780659012.1175168
"Tidak sesuai ekspektasi, kecewa.",NEGATIVE,0.9439536333084106,1780659014.1181846
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780659016.1192174
Saya akan kembali lagi tahun depan.,NEGATIVE,0.951592206954956,1780659018.1202214
"Sayang, banyak pedagang yang mengganggu.",NEGATIVE,0.9881429076194763,1780659020.1211212
Harga tiket terlalu mahal untuk fasilitas yang ada.,NEGATIVE,0.9809442162513733,1780659022.122025
"Tidak sesuai ekspektasi, kecewa.",NEGATIVE,0.9439536333084106,1780659024.1226487
Kebersihan toilet perlu ditingkatkan.,NEGATIVE,0.9969180822372437,1780659026.1234903
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780659028.1243124
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780659030.1250572
Pemandangan sunset luar biasa!,NEGATIVE,0.9777292609214783,1780659032.1257825
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780659034.1266866
"Pelayanan sangat ramah, saya suka!",NEGATIVE,0.9324567914009094,1780659036.127637
Saya akan kembali lagi tahun depan.,NEGATIVE,0.951592206954956,1780659038.129108
"Pantai Kuta sangat indah, ombaknya bagus untuk berselancar!",NEGATIVE,0.9785019159317017,1780659040.1306944
Kebersihan toilet perlu ditingkatkan.,NEGATIVE,0.9969180822372437,1780659042.1313577
"Pantai Kuta sangat indah, ombaknya bagus untuk berselancar!",NEGATIVE,0.9785019159317017,1780659044.1324992
Akses jalan macet parah.,NEGATIVE,0.5252944231033325,1780659046.1334283
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780659048.1341727
Transportasi umum sulit ditemukan di sini.,NEGATIVE,0.9929972290992737,1780659050.1348958
Kebersihan toilet perlu ditingkatkan.,NEGATIVE,0.9969180822372437,1780659052.1361902
"Tidak sesuai ekspektasi, kecewa.",NEGATIVE,0.9439536333084106,1780659054.136984
